"Step","main: davidson - test/waseem_hovy_recall","main: davidson - test/waseem_hovy_recall__MIN","main: davidson - test/waseem_hovy_recall__MAX","main: wulczyn - test/waseem_hovy_recall","main: wulczyn - test/waseem_hovy_recall__MIN","main: wulczyn - test/waseem_hovy_recall__MAX","main: garcia - test/waseem_hovy_recall","main: garcia - test/waseem_hovy_recall__MIN","main: garcia - test/waseem_hovy_recall__MAX","main: waseem_hovy - test/waseem_hovy_recall","main: waseem_hovy - test/waseem_hovy_recall__MIN","main: waseem_hovy - test/waseem_hovy_recall__MAX","main: waseem - test/waseem_hovy_recall","main: waseem - test/waseem_hovy_recall__MIN","main: waseem - test/waseem_hovy_recall__MAX"
"35","","","","","","","","","","0.7605046257825094","0.7253536547978803","0.799324129997124","","",""
"37","","","","","","","","","","0.7673872783924625","0.7673872783924625","0.7673872783924625","","",""
"38","","","","","","","0.5749574084959258","0.5251661918328585","0.6064131928538709","","","","","",""
"39","0.571876545923171","0.5634475747894279","0.5774239388715464","","","","","","","0.7309837832592082","0.7108749473240623","0.7539440147467064","0.575600201174253","0.56466839837711","0.5941889094063008"
"40","","","","","","","0.6008211470062637","0.5925231701520912","0.6136824238739423","","","","","",""
"41","0.5629056701557114","0.5629056701557114","0.5629056701557114","","","","0.5365687351841485","0.5082260371959942","0.5649114331723027","0.7380096478452304","0.7380096478452304","0.7380096478452304","0.6019443922041566","0.5577080450534899","0.6538729128014842"
"42","","","","","","","0.5731059899894437","0.5587464615774879","0.5874655184013995","","","","","",""
"43","","","","","","","0.5795037016792518","0.5640716305979525","0.5949357727605511","","","","","",""
"45","0.5762230817391767","0.5762230817391767","0.5762230817391767","","","","0.5180341243853559","0.5180341243853559","0.5180341243853559","","","","0.6223952040694044","0.5905581947743468","0.6859615434742943"
"46","","","","","","","0.6042023548496126","0.6019755260360455","0.6064291836631797","","","","","",""
"47","","","","0.5865512149953702","0.5865512149953702","0.5865512149953702","","","","","","","0.5745836095166909","0.5745836095166909","0.5745836095166909"
"48","","","","","","","0.598422771917861","0.598422771917861","0.598422771917861","","","","","",""
"49","","","","0.559018233461609","0.559018233461609","0.559018233461609","","","","0.7193920896531361","0.6357439783012471","0.8030402010050252","","",""
"51","","","","0.5596695605953225","0.5596695605953225","0.5596695605953225","0.5349485880991814","0.5349485880991814","0.5349485880991814","0.6053138625018922","0.6053138625018922","0.6053138625018922","","",""
"53","","","","","","","0.58510051076377","0.58510051076377","0.58510051076377","","","","","",""
"55","","","","","","","","","","0.7107791479820628","0.7107791479820628","0.7107791479820628","0.5180304096560254","0.5180304096560254","0.5180304096560254"
"57","","","","","","","","","","0.7715829668391768","0.7715829668391768","0.7715829668391768","0.5940770613882894","0.5454946763265187","0.6426594464500601"
"59","","","","0.5607808857808858","0.5607808857808858","0.5607808857808858","","","","0.747121035475505","0.747121035475505","0.747121035475505","","",""
"63","","","","","","","","","","0.7555260925660601","0.7555260925660601","0.7555260925660601","","",""
"65","","","","","","","","","","0.7450860948667966","0.7450860948667966","0.7450860948667966","","",""
"67","","","","","","","","","","","","","0.5282113821138211","0.5282113821138211","0.5282113821138211"
