"Step","main: davidson - test/waseem_hovy_recall","main: davidson - test/waseem_hovy_recall__MIN","main: davidson - test/waseem_hovy_recall__MAX","main: wulczyn - test/waseem_hovy_recall","main: wulczyn - test/waseem_hovy_recall__MIN","main: wulczyn - test/waseem_hovy_recall__MAX","main: garcia - test/waseem_hovy_recall","main: garcia - test/waseem_hovy_recall__MIN","main: garcia - test/waseem_hovy_recall__MAX","main: waseem_hovy - test/waseem_hovy_recall","main: waseem_hovy - test/waseem_hovy_recall__MIN","main: waseem_hovy - test/waseem_hovy_recall__MAX","main: waseem - test/waseem_hovy_recall","main: waseem - test/waseem_hovy_recall__MIN","main: waseem - test/waseem_hovy_recall__MAX"
"69","","","","0.5845360618374508","0.5845360618374508","0.5845360618374508","","","","","","","0.5424317115672412","0.506071081455543","0.5787923416789396"
"70","","","","","","","0.5780867179601227","0.5780867179601227","0.5780867179601227","","","","","",""
"71","","","","0.559797060310935","0.559797060310935","0.559797060310935","0.5040677838181007","0.5040677838181007","0.5040677838181007","","","","0.5704929509124796","0.526445520691569","0.6145403811333902"
"72","","","","","","","0.5038024388154325","0.5038024388154325","0.5038024388154325","","","","","",""
"73","","","","0.5668541273674994","0.5668541273674994","0.5668541273674994","","","","0.6691645888087697","0.6691645888087697","0.6691645888087697","0.5162772301326518","0.5162772301326518","0.5162772301326518"
"77","","","","","","","","","","0.7809353835971018","0.7809353835971018","0.7809353835971018","","",""
"79","","","","","","","","","","0.6890891284977081","0.6853369637328616","0.6928412932625546","0.5941889094063008","0.5941889094063008","0.5941889094063008"
"81","","","","","","","","","","","","","0.5260091822591823","0.5260091822591823","0.5260091822591823"
"83","","","","","","","","","","0.6974976995458458","0.6974976995458458","0.6974976995458458","","",""
"85","","","","","","","","","","0.6940397601946484","0.6940397601946484","0.6940397601946484","","",""
"87","","","","0.5577897509269187","0.5517354158323321","0.5638440860215054","","","","","","","","",""
"90","","","","","","","0.44195273721367856","0.44195273721367856","0.44195273721367856","","","","","",""
"93","","","","0.5373862204920541","0.5373862204920541","0.5373862204920541","","","","","","","","",""
"95","","","","0.548396254752991","0.548396254752991","0.548396254752991","","","","0.6846761501440769","0.6846761501440769","0.6846761501440769","","",""
"101","","","","0.5593152431251138","0.5593152431251138","0.5593152431251138","","","","","","","","",""
"105","","","","","","","0.504194612258071","0.504194612258071","0.504194612258071","","","","","",""
"107","","","","","","","0.5081455404309463","0.5081455404309463","0.5081455404309463","","","","","",""
"109","","","","0.5597845873786408","0.5597845873786408","0.5597845873786408","","","","","","","","",""
"111","","","","0.560447311179549","0.560447311179549","0.560447311179549","","","","0.5973259923474603","0.5973259923474603","0.5973259923474603","","",""
"125","","","","","","","","","","0.6386437908496732","0.6386437908496732","0.6386437908496732","","",""
"131","","","","","","","","","","0.6638283562012376","0.6638283562012376","0.6638283562012376","","",""
"133","","","","","","","","","","0.6537072164948453","0.6537072164948453","0.6537072164948453","","",""
"142","","","","","","","0.5441254285693575","0.5441254285693575","0.5441254285693575","","","","","",""
"147","","","","","","","","","","0.6399107190306638","0.6399107190306638","0.6399107190306638","","",""
"176","","","","","","","0.5334060196560196","0.5334060196560196","0.5334060196560196","","","","","",""
