"Name","main","experiment","model","test/davidson_accuracy","test/davidson_f1-score","test/davidson_precision","test/davidson_recall","test/garcia_accuracy","test/garcia_f1-score","test/garcia_precision","test/garcia_recall","test/waseem_accuracy","test/waseem_f1-score","test/waseem_hovy_accuracy","test/waseem_hovy_f1-score","test/waseem_hovy_precision","test/waseem_hovy_recall","test/waseem_precision","test/waseem_recall","test/wulczyn_accuracy","test/wulczyn_f1-score","test/wulczyn_precision","test/wulczyn_recall"
"eternal-sweep-5","davidson","word","cnn","0.9798305768455022","0.9633270135673776","0.9553528854898622","0.9717767977636398","0.5794979079497908","0.578965358574903","0.5794979079497908","0.5799021677927928","0.5924855491329479","0.4816396786943772","0.6105200945626478","0.57719872942877","0.5853970910130386","0.5774239388715464","0.5222461857975876","0.5123061287614334","0.7130483901336848","0.5717974982413558","0.7184214890846328","0.5854526836768418"
"stilted-sweep-4","davidson","word","cnn","0.982654296087132","0.9687978674235008","0.9656592863439608","0.9720072145139044","0.5523012552301255","0.5509727489815985","0.5523012552301255","0.5529276286650722","0.6315028901734104","0.509614021826428","0.601063829787234","0.5725505680425316","0.5838345182442014","0.5747581241085391","0.5491413052160715","0.5283554572271386","0.7590849180945208","0.6066046347849627","0.7387401205939201","0.6020439749374573"
"sandy-sweep-5","wulczyn","liwc","mlp","0.8810004033884631","0.8116855610704469","0.8548125612022506","0.7846178532313106","0.5774058577405857","0.522567246835443","0.5774058577405858","0.6431972018006931","0.7572254335260116","0.5679821627647714","0.6323877068557919","0.5538239518663164","0.5529789253417827","0.559797060310935","0.5738637271347552","0.5644345341788028","0.9223937739283248","0.6422173497118872","0.5975513649878712","0.9430096371642632"
"avid-sweep-3","wulczyn","liwc","mlp","0.8838241226300928","0.8209515784405188","0.8765976549507242","0.7895382502472286","0.5815899581589958","0.5317122871642143","0.5815899581589958","0.6421534238218698","0.7543352601156069","0.5598359674329503","0.6365248226950354","0.5496913426648173","0.5496522352177886","0.559018233461609","0.5645179327422318","0.5569805996472663","0.9274775622920982","0.6812709126085041","0.6263265440508257","0.9405761942188802"
"fearless-sweep-4","wulczyn","liwc","mlp","0.9233561920129084","0.8712564015096848","0.895578202811175","0.8517144216153616","0.5711297071129707","0.5177728675265622","0.5711297071129707","0.627606783919598","0.7210982658959537","0.5303657391616236","0.6128841607565012","0.5337676242240924","0.5337454692616401","0.5373862204920541","0.5372234204009905","0.5295265612327656","0.9222368668800602","0.646289613045133","0.6009852151132576","0.9231518595609046"
"clear-sweep-1","wulczyn","liwc","mlp","0.8265429608713191","0.7611663476153603","0.8565134313499734","0.7337913072658079","0.5543933054393305","0.47980564369031736","0.5543933054393305","0.6275451559934319","0.7803468208092486","0.5630442007311398","0.6471631205673759","0.5391986599169838","0.543267045773907","0.5596695605953225","0.5608115664190431","0.5659533916659447","0.9197577355174794","0.6201252842981145","0.5824516118808072","0.9468520091984955"
"valiant-sweep-2","wulczyn","liwc","mlp","0.926179911254538","0.8771604227901606","0.9058846036652736","0.8548321010850292","0.5418410041841004","0.4611214924405047","0.5418410041841004","0.6043850454227813","0.7413294797687862","0.5532472778553215","0.6365248226950354","0.5508435765210038","0.5506318543226094","0.5597845873786408","0.5606438213914849","0.5502010156580618","0.92760308793071","0.683357326765347","0.6281562458502805","0.9364814617710644"
"breezy-sweep-3","davidson","word","cnn","0.9842678499394916","0.9721295667703004","0.9761947958606928","0.9681777954624972","0.5648535564853556","0.5523135390212712","0.5648535564853556","0.5730368092111748","0.6965317919075145","0.5419529723255374","0.6359338061465721","0.5747043701799486","0.5737083079729753","0.5762230817391767","0.5646936656282451","0.5434742933213094","0.8127785100106697","0.6447363514235489","0.7415818416202035","0.6231555416037866"
"honest-sweep-2","davidson","word","cnn","0.9846712384025816","0.9729207485902992","0.9783503943692766","0.9676917391551538","0.5418410041841004","0.5253873043076127","0.5418410041841004","0.5485772357723577","0.7095375722543352","0.5388547955560419","0.6353427895981087","0.5571437843368572","0.5561305687732759","0.5634475747894279","0.5532949916127486","0.5385254988913526","0.8437833427477562","0.6724110302479773","0.7481621012239179","0.6447653086271514"
"celestial-sweep-1","davidson","word","cnn","0.9842678499394916","0.971809314201888","0.9704554494135051","0.9731761238025056","0.5334728033472803","0.5257493448654805","0.5334728033472803","0.5358052434456928","0.6604046242774566","0.5275078085276386","0.6158392434988179","0.563479274195981","0.5643264476281173","0.5629056701557114","0.5624171259685279","0.5378101652924554","0.8233226636540514","0.6535201225893428","0.7433041630258429","0.6294692427755035"
"iconic-sweep-5","garcia","liwc","cnn","0.6490520371117386","0.553031559051985","0.6101634696122831","0.5662521209883071","0.6631799163179917","0.6631076673889728","0.6631799163179917","0.663320016820858","0.5809248554913294","0.48232987669607386","0.5975177304964538","0.5897378563862457","0.6297192347408265","0.6136824238739423","0.5344995606677849","0.5186570710255989","0.40971568442854456","0.35837504791317776","0.5229890698781328","0.508453332628253"
"fine-sweep-4","garcia","liwc","cnn","0.5949979830576846","0.5208846665598936","0.5968018989270272","0.5550097680000846","0.6694560669456067","0.6689866760168304","0.6694560669456067","0.6704227335950843","0.596820809248555","0.4809092986677779","0.6069739952718676","0.5886620494513629","0.6102199967560153","0.5962578469927575","0.5171738956785685","0.5096006144393241","0.4452080587459989","0.3826344198125577","0.5426122220746766","0.515193412243686"
"bumbling-sweep-3","garcia","liwc","cnn","0.7277127874142799","0.6104779017659173","0.6497951977893921","0.603251903477002","0.6610878661087866","0.6599209486166008","0.6610878661087867","0.6633296057653053","0.5621387283236994","0.46649364528071446","0.5886524822695035","0.581180373484772","0.6212439235511674","0.6064131928538709","0.5157520568735522","0.5084417808219178","0.4080524697169397","0.36118840897012783","0.5462736407636741","0.5172399113752634"
"olive-sweep-2","garcia","liwc","cnn","0.6442113755546591","0.5563902360640411","0.6235151548983897","0.5728589265133637","0.6589958158995816","0.6586596804507161","0.6589958158995816","0.6596245781777277","0.5953757225433526","0.49046461968927174","0.6022458628841607","0.5896008692972641","0.6194798061960105","0.6039597457982371","0.5392283728732327","0.5215222936077342","0.4043808447875479","0.35597800444426814","0.5279608777431866","0.5103783880184928"
